Entity,Relation,Entity,Weight
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, heatmap, 59
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, scatter, 11704
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, scatter, 19619
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, histogram, 1003
range between 0.0010489814216270439 and 1.884129064832964, range, scatter, 7255
std between 1.265435202025598 and 5.671287387417208, std, scatter, 18300
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, line, 8543
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, box, 2925
min between 2234.3465037487395 and 3181.360058593754, min, histogram, 418
heatmap, trace_type, heatmap, 1123
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, heatmap, 89
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, histogram, 552
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, heatmap, 159
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, box, 2206
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, box, 3186
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, heatmap, 269
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, line, 15939
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, bar, 3561
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, bar, 7500
skewness between 0.6223711049364465 and 3.101168877463187, skewness, histogram, 1059
x, symbol_in_name, box, 1264
y, symbol_in_name, heatmap, 254
gini between 0.5444116135758735 and 1.7769320607185364, gini, bar, 4222
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, line, 8617
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, line, 11995
is_sorted_False, is_sorted, bar, 26256
std between 28.3294898925289 and 3000.4648240612346, std, box, 2460
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, scatter, 8611
is_log_space_False, is_log_space, heatmap, 1048
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, heatmap, 75
x, symbol_in_name, line, 15643
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, histogram, 217
hasoutliers_15iqr, has_outliers, histogram, 4522
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, heatmap, 157
std between 28.3294898925289 and 3000.4648240612346, std, line, 12847
gini between 0.2661612808704376 and 0.381471216414244, gini, box, 1830
is_only_field_True, is_only_field, scatter, 166
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, bar, 1812
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, bar, 5170
sortedness between 0.7945867153906053 and 2, sortedness, heatmap, 70
entropy between 4.227416124036235 and 7.226597045621564, entropy, heatmap, 103
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, scatter, 8740
gini between 0.2661612808704376 and 0.381471216414244, gini, line, 7550
range between 27356.06338867178 and 43421, range, scatter, 11388
decimal, data_type, histogram, 3215
is_lin_space_True, is_lin_space, box, 186
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, scatter, 7676
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, bar, 3331
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, histogram, 596
mean between 8262.562250976542 and 26053.242773437632, mean, heatmap, 94
std between 5.671287387417208 and 28.3294898925289, std, bar, 5862
is_lin_space_True, is_lin_space, line, 8509
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, heatmap, 224
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, histogram, 2292
median between 30.791238223660386 and 273.1241935483871, median, histogram, 829
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, scatter, 13743
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, histogram, 1133
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, heatmap, 306
is_lin_space_False, is_lin_space, heatmap, 1081
number_of_words_in_name between 1 and 8, number_of_words_in_name, scatter, 38692
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, box, 1891
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, heatmap, 237
min between 1.817272958832402 and 9.322483742621632, min, scatter, 8464
has_none_False, has_none, bar, 39419
max between 26214.49350302417 and 74999.69999999998, max, scatter, 8076
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, heatmap, 118
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, scatter, 9353
min between 69.52466286197784 and 2234.3465037487395, min, scatter, 10709
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, line, 13819
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, histogram, 630
hasoutliers_3iqr, has_outliers, scatter, 63025
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, heatmap, 179
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, box, 873
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, scatter, 14178
entropy between 3.0664403364735264 and 4.227416124036235, entropy, histogram, 518
is_y_src, is_x_or_y, scatter, 45381
gini between 0.09158154010772704 and 0.1794668331501945, gini, box, 2733
median between 5.251452979118592 and 30.791238223660386, median, line, 13385
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, heatmap, 87
std between 3000.4648240612346 and 10530.733789062511, std, bar, 6316
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, line, 9143
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, histogram, 1693
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, box, 1202
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, box, 1582
gini between 0.09158154010772704 and 0.1794668331501945, gini, line, 11648
is_only_field_False, is_only_field, heatmap, 1089
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, box, 3566
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, histogram, 522
temporal, general_type, heatmap, 24
is_unique_False, is_unique, bar, 22482
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, scatter, 15204
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, bar, 5556
y, symbol_in_name, box, 1681
digit, symbol_in_name, scatter, 33228
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, line, 9131
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, line, 7121
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, heatmap, 84
is_x_src, is_x_or_y, histogram, 5026
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, line, 23853
min between 0.2605670641891413 and 1.817272958832402, min, histogram, 2508
is_log_space_False, is_log_space, box, 13176
gini between 0.0039505421844941435 and 0.09158154010772704, gini, heatmap, 87
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, bar, 7502
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, box, 1330
mean between 4.191202395962129 and 31.850277947456604, mean, heatmap, 144
y, symbol_in_name, line, 30746
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, heatmap, 112
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, heatmap, 109
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, box, 2989
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, bar, 10402
median between 0.1103014424311057 and 5.251452979118592, median, histogram, 1671
is_log_space_False, is_log_space, line, 70177
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, line, 8720
median between 273.1241935483871 and 10816.114516129033, median, scatter, 13813
sortedness between 0.7945867153906053 and 2, sortedness, box, 1589
entropy between 4.227416124036235 and 7.226597045621564, entropy, box, 2565
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, line, 12760
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, scatter, 17183
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, bar, 7004
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, scatter, 15496
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, scatter, 10615
mean between 0.1916935728682625 and 4.191202395962129, mean, histogram, 1411
sortedness between 0.7945867153906053 and 2, sortedness, line, 8484
entropy between 4.227416124036235 and 7.226597045621564, entropy, line, 8933
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, bar, 2389
id, symbol_in_name, heatmap, 2
categorical, general_type, histogram, 552
mean between 8262.562250976542 and 26053.242773437632, mean, box, 1153
scatter, trace_type, scatter, 78939
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, bar, 10331
yen, symbol_in_name, scatter, 1
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, box, 853
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, heatmap, 127
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, histogram, 808
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, heatmap, 687
mean between 8262.562250976542 and 26053.242773437632, mean, line, 8607
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, box, 3777
is_lin_space_False, is_lin_space, box, 13689
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, scatter, 16112
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, heatmap, 65
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, histogram, 592
euro, symbol_in_name, bar, 2
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, line, 15388
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, bar, 6713
num_uppercase_characters between 0 and 6, num_uppercase_characters, bar, 13119
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, heatmap, 60
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, box, 1197
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, line, 18441
is_lin_space_False, is_lin_space, line, 68353
var between 802.6463076486889 and 8941665.196451588, var, bar, 5348
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, box, 1312
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, bar, 4506
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, bar, 2647
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, line, 19923
is_sorted_True, is_sorted, scatter, 35417
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, line, 7927
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, heatmap, 187
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, box, 1729
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, scatter, 8351
hasoutliers_1_99, has_outliers, bar, 25164
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, line, 12622
range between 6.755743844124582 and 34.0001273493613, range, heatmap, 96
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, bar, 9658
is_only_field_False, is_only_field, box, 13253
skewness between -0.393793818426709 and -0.008621457328779548, skewness, scatter, 8822
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, line, 8124
first_char_uppercase_name_True, first_char_uppercase_name, bar, 29156
max between 639.0702552057083 and 26214.49350302417, max, bar, 6299
temporal, general_type, box, 460
pound, symbol_in_name, box, 1
mean between 281.8860048355595 and 8262.562250976542, mean, bar, 5862
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, histogram, 671
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, heatmap, 137
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, heatmap, 134
is_only_field_False, is_only_field, line, 76720
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, box, 2904
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, scatter, 14696
temporal, general_type, line, 4137
gini between 0.0039505421844941435 and 0.09158154010772704, gini, box, 995
pound, symbol_in_name, line, 4
mean between 4.191202395962129 and 31.850277947456604, mean, box, 2956
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, histogram, 1316
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, box, 2762
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, line, 8633
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, box, 1718
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, scatter, 9257
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, bar, 4910
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, bar, 8332
range between 0.0010489814216270439 and 1.884129064832964, range, bar, 4370
std between 1.265435202025598 and 5.671287387417208, std, bar, 4548
gini between 0.0039505421844941435 and 0.09158154010772704, gini, line, 10945
mean between 4.191202395962129 and 31.850277947456604, mean, line, 12240
max between 5.469374160151328 and 19.999878525272493, max, histogram, 1201
var between 8941665.196451588 and 110410814.59999862, var, histogram, 686
line, trace_type, line, 76862
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, line, 11776
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, line, 9300
field_name_length between 5.044516129032258 and 39, field_name_length, scatter, 35887
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, bar, 3037
entropy between 2.299301989847614 and 3.0664403364735264, entropy, scatter, 17429
id, symbol_in_name, box, 6
median between 10816.114516129033 and 17753.6826171875, median, scatter, 8003
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, histogram, 510
normalized_mean between 0.9896777660615983 and 2, normalized_mean, heatmap, 71
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, box, 2372
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, scatter, 8562
var between 32.22537642817343 and 802.6463076486889, var, heatmap, 158
id, symbol_in_name, line, 60
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, histogram, 798
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, box, 11407
min between 9.322483742621632 and 69.52466286197784, min, heatmap, 67
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, box, 2048
histogram, trace_type, histogram, 5626
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, heatmap, 188
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, scatter, 7898
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, line, 9860
is_only_field_True, is_only_field, bar, 103
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, box, 873
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, line, 65063
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, line, 7847
range between 34.0001273493613 and 164.9013685854019, range, scatter, 14519
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, bar, 3479
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, bar, 3770
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, heatmap, 130
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, line, 9158
gini between 0.1794668331501945 and 0.2661612808704376, gini, heatmap, 70
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, heatmap, 63
var between 1.6052005600929224 and 32.22537642817343, var, heatmap, 145
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, bar, 4349
time, data_type, scatter, 3926
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, box, 2603
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, histogram, 467
range between 6.755743844124582 and 34.0001273493613, range, box, 2811
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, bar, 6550
isnormal_5, is_normal, histogram, 3638
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, line, 14559
first_char_uppercase_name_False, first_char_uppercase_name, histogram, 2421
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, heatmap, 75
number_of_words_in_name between 1 and 8, number_of_words_in_name, bar, 19084
range between 6.755743844124582 and 34.0001273493613, range, line, 9963
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, heatmap, 43
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, scatter, 9447
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, heatmap, 225
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, box, 3473
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, box, 3009
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, heatmap, 400
gini between 0.5444116135758735 and 1.7769320607185364, gini, heatmap, 87
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, scatter, 8880
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, heatmap, 179
hasoutliers_3std, has_outliers, scatter, 13563
is_sorted_False, is_sorted, heatmap, 803
min between 69.52466286197784 and 2234.3465037487395, min, bar, 4765
hasoutliers_3iqr, has_outliers, bar, 25143
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, line, 15006
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, bar, 4763
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, line, 10503
integer, data_type, scatter, 25912
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, scatter, 9613
range between 27356.06338867178 and 43421, range, histogram, 662
space, symbol_in_name, scatter, 40182
quantitative, general_type, bar, 29469
median between 5.251452979118592 and 30.791238223660386, median, bar, 6615
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, heatmap, 150
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, heatmap, 85
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, bar, 4476
dollar, symbol_in_name, box, 8
entropy between 7.226597045621564 and 8.682643008232112, entropy, scatter, 10761
max between 1.369510426136755 and 5.469374160151328, max, scatter, 13446
digit, symbol_in_name, bar, 11764
dollar, symbol_in_name, line, 347
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, heatmap, 84
std between 5.671287387417208 and 28.3294898925289, std, heatmap, 158
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, scatter, 10828
normalized_mean between 0.9896777660615983 and 2, normalized_mean, box, 2618
var between 32.22537642817343 and 802.6463076486889, var, box, 2361
min between 9.322483742621632 and 69.52466286197784, min, box, 2041
min between 1.817272958832402 and 9.322483742621632, min, histogram, 642
min between 2234.3465037487395 and 3181.360058593754, min, scatter, 7884
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, box, 2090
max between 26214.49350302417 and 74999.69999999998, max, histogram, 459
normalized_mean between 0.9896777660615983 and 2, normalized_mean, line, 11561
string, data_type, histogram, 552
std between 0.005012650750577393 and 1.265435202025598, std, histogram, 508
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, scatter, 8696
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, histogram, 889
var between 32.22537642817343 and 802.6463076486889, var, line, 12897
min between 9.322483742621632 and 69.52466286197784, min, line, 6857
skewness between 0.6223711049364465 and 3.101168877463187, skewness, scatter, 15836
is_y_src, is_x_or_y, histogram, 600
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, line, 12693
has_none_False, has_none, heatmap, 1097
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, histogram, 825
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, box, 3395
gini between 0.1794668331501945 and 0.2661612808704376, gini, box, 2541
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, bar, 6629
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, box, 2249
var between 1.6052005600929224 and 32.22537642817343, var, box, 3902
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, scatter, 10805
max between 19.999878525272493 and 56.596889114379884, max, histogram, 626
is_monotonic_False, is_monotonic, histogram, 567
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, line, 14582
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, scatter, 13883
gini between 0.1794668331501945 and 0.2661612808704376, gini, line, 8391
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, line, 10388
var between 1.6052005600929224 and 32.22537642817343, var, line, 15742
is_monotonic_True, is_monotonic, histogram, 5059
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, histogram, 1597
is_unique_False, is_unique, heatmap, 838
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, box, 2300
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, box, 3060
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, heatmap, 31
gini between 0.5444116135758735 and 1.7769320607185364, gini, box, 1174
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, scatter, 14549
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, line, 7972
is_sorted_False, is_sorted, box, 11022
median between 273.1241935483871 and 10816.114516129033, median, histogram, 867
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, line, 8598
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, line, 17031
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, heatmap, 174
is_unique_True, is_unique, histogram, 274
is_sorted_True, is_sorted, bar, 13944
gini between 0.5444116135758735 and 1.7769320607185364, gini, line, 8140
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, histogram, 92
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, heatmap, 148
is_sorted_False, is_sorted, line, 43095
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, bar, 4686
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, box, 1449
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, box, 2352
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, bar, 4604
has_none_True, has_none, histogram, 180
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, line, 10402
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, line, 8892
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, histogram, 1286
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, scatter, 8646
entropy between 3.0664403364735264 and 4.227416124036235, entropy, scatter, 8285
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, box, 2108
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, histogram, 1840
std between 5.671287387417208 and 28.3294898925289, std, box, 2364
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, histogram, 880
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, bar, 6189
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, histogram, 1119
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, line, 8302
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, scatter, 23987
isnormal_1, is_normal, bar, 8317
std between 5.671287387417208 and 28.3294898925289, std, line, 12894
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, histogram, 1786
var between 2.5077526515815407e-05 and 1.6052005600929224, var, histogram, 508
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, scatter, 7540
has_none_False, has_none, box, 13419
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, bar, 4372
var between 802.6463076486889 and 8941665.196451588, var, heatmap, 176
is_x_src, is_x_or_y, scatter, 33554
min between 0.2605670641891413 and 1.817272958832402, min, scatter, 31406
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, heatmap, 131
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, heatmap, 72
is_nan_src, is_x_or_y, scatter, 4
has_none_False, has_none, line, 73311
median between 10816.114516129033 and 17753.6826171875, median, bar, 3983
skewness between -0.393793818426709 and -0.008621457328779548, skewness, histogram, 706
median between 0.1103014424311057 and 5.251452979118592, median, scatter, 15396
std between 3000.4648240612346 and 10530.733789062511, std, box, 1852
hasoutliers_1_99, has_outliers, heatmap, 674
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, histogram, 1084
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, bar, 5191
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, heatmap, 237
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, bar, 3112
first_char_uppercase_name_True, first_char_uppercase_name, heatmap, 431
std between 3000.4648240612346 and 10530.733789062511, std, line, 13181
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, bar, 5282
max between 639.0702552057083 and 26214.49350302417, max, heatmap, 138
is_unique_False, is_unique, box, 12906
mean between 0.1916935728682625 and 4.191202395962129, mean, scatter, 13813
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, box, 867
mean between 281.8860048355595 and 8262.562250976542, mean, heatmap, 119
range between 164.9013685854019 and 27356.06338867178, range, histogram, 739
range between 34.0001273493613 and 164.9013685854019, range, bar, 6294
categorical, general_type, scatter, 4799
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, histogram, 454
range between 1.884129064832964 and 6.755743844124582, range, scatter, 10041
is_unique_False, is_unique, line, 61767
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, box, 2368
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, line, 7192
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, scatter, 10655
normalized_median between 0.9933362595496638 and 2, normalized_median, scatter, 8611
time, data_type, bar, 991
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, histogram, 1398
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, box, 3171
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, heatmap, 137
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, heatmap, 255
range between 0.0010489814216270439 and 1.884129064832964, range, heatmap, 57
